Time|Pack.Num|Event|Eff.Win|cwnd|RTT|sRTT|TOut
1583259745|0|SEND|1|1|1583259744.55|5|10.0
1583259746|1|SEND|0|1|1583259745.56|5|10.0
1583259747|0|RECIEVE|1|2|2.01|4.4|10.0
1583259748|1|RECIEVE|3|3|2.0|4.4|8.8
1583259748|2|SEND|2|3|1583259747.56|4.4|8.8
1583259749|3|SEND|1|3|1583259748.57|5|8.8
1583259750|4|SEND|0|3|1583259749.57|5|8.8
1583259756|2|RESEND|0|1|1583259747.56|5|17.6
1583259758|2|RECIEVE|0|2|10.81|4.0|17.6
1583259766|3|RESEND|0|1|1583259748.57|5|35.21
1583259768|3|RECIEVE|1|2|19.61|4.0|35.21
1583259768|4|RECIEVE|3|3|18.62|7.72|35.21
1583259769|5|SEND|2|3|1583259769.18|7.72|15.45
1583259770|6|SEND|1|3|1583259770.18|5|15.45
1583259771|7|SEND|0|3|1583259771.18|7.72|15.45
1583259785|5|RESEND|0|1|1583259769.18|5|30.89
1583259787|5|RECIEVE|0|2|17.46|4.0|30.89
1583259787|6|RECIEVE|2|3|16.47|7.29|30.89
1583259787|7|RESEND|2|1|1583259771.18|5|29.18
1583259788|8|SEND|-1|1|1583259787.65|5|29.18
1583259789|7|RECIEVE|1|2|17.49|4.0|29.18
1583259790|8|RECIEVE|3|3|2.01|4.4|29.18
1583259790|9|SEND|2|3|1583259789.68|4.4|8.8
1583259791|10|SEND|1|3|1583259790.68|4.4|8.8
1583259792|9|RECIEVE|3|4|2.01|3.92|8.8
1583259792|11|SEND|2|4|1583259791.69|3.92|7.85
1583259793|10|RECIEVE|4|5|2.01|3.92|7.85
1583259793|12|SEND|3|5|1583259792.69|5|7.85
1583259794|13|SEND|2|5|1583259793.69|3.92|7.85
1583259795|14|SEND|1|5|1583259794.7|5|7.85
1583259796|15|SEND|0|5|1583259795.7|3.92|7.85
1583259800|11|RESEND|0|1|1583259791.69|5|15.69
1583259800|12|RECIEVE|-1|2|6.86|5.37|15.69
1583259804|13|RESEND|-1|1|1583259793.69|5|21.49
1583259804|15|RECIEVE|2|2|8.75|4.89|21.49
1583259805|16|SEND|1|2|1583259805.45|4.89|9.78
1583259806|17|SEND|0|2|1583259806.46|4.89|9.78
1583259807|16|RECIEVE|2|3|2.01|4.31|9.78
1583259808|18|SEND|1|3|1583259808.46|5|8.62
1583259809|19|SEND|0|3|1583259809.47|4.31|8.62
